refund_id,order_item_id,refund_amount,refund_date,refund_reason
244,216125,10.54,2026-02-12,Wrong Item
245,186596,27.05,2026-02-12,Damaged Item
246,159052,344.72,2026-02-12,Wrong Item
247,219383,3.86,2026-02-12,Late Delivery
248,164826,5.16,2026-02-12,Wrong Item
249,61372,60.44,2026-02-12,Late Delivery
250,291146,77.78,2026-02-12,Customer Error
251,722,5.24,2026-02-12,Late Delivery
252,283388,14.91,2026-02-12,Customer Error
253,163877,26.69,2026-02-12,Late Delivery
254,287518,61.91,2026-02-12,Damaged Item
255,37541,4.93,2026-02-12,Damaged Item
256,157422,8.01,2026-02-12,Customer Error
257,131139,8.74,2026-02-12,Customer Error
258,301218,24.51,2026-02-12,Wrong Item
259,136205,8.8,2026-02-12,Customer Error
260,68966,29.69,2026-02-12,Wrong Item
261,89658,5.84,2026-02-12,Damaged Item
262,197699,35.73,2026-02-12,Damaged Item
263,156509,53.06,2026-02-12,Wrong Item
264,255440,16.5,2026-02-12,Customer Error
265,269084,40.12,2026-02-12,Wrong Item
266,267705,9.2,2026-02-12,Late Delivery
267,122367,47.96,2026-02-12,Late Delivery
268,97082,46.87,2026-02-12,Damaged Item
269,172961,82.41,2026-02-12,Customer Error
270,172245,32.13,2026-02-12,Wrong Item
271,22460,38.63,2026-02-12,Wrong Item
272,158591,34.21,2026-02-12,Wrong Item
273,55598,39.41,2026-02-12,Customer Error
274,208710,3.76,2026-02-12,Customer Error
275,173056,37.15,2026-02-12,Wrong Item
276,153171,12.25,2026-02-12,Damaged Item
277,234556,19.51,2026-02-12,Late Delivery
278,179744,17.95,2026-02-12,Customer Error
279,163980,14.3,2026-02-12,Wrong Item
280,23840,3.69,2026-02-12,Late Delivery
281,64549,34.45,2026-02-12,Customer Error
282,240580,20.28,2026-02-12,Late Delivery
283,219743,16.38,2026-02-12,Wrong Item
284,29696,36.73,2026-02-12,Customer Error
285,192527,74.93,2026-02-12,Wrong Item
286,20475,6.59,2026-02-12,Wrong Item
287,211195,14.4,2026-02-12,Customer Error
288,26935,11.6,2026-02-12,Damaged Item
289,265179,34.85,2026-02-12,Late Delivery
290,249883,14.01,2026-02-12,Wrong Item
291,136760,25.0,2026-02-12,Customer Error
292,63191,278.41,2026-02-12,Wrong Item
293,18022,4.49,2026-02-12,Wrong Item
294,13022,18.38,2026-02-12,Customer Error
295,62724,19.0,2026-02-12,Damaged Item
296,287061,27.09,2026-02-12,Wrong Item
297,6405,15.97,2026-02-12,Wrong Item
298,67457,6.76,2026-02-12,Wrong Item
299,282877,7.81,2026-02-12,Customer Error
300,22835,32.75,2026-02-12,Customer Error
301,137089,15.36,2026-02-12,Wrong Item
302,15138,93.14,2026-02-12,Customer Error
303,299089,27.99,2026-02-12,Customer Error
304,260125,22.43,2026-02-12,Late Delivery
305,146408,33.27,2026-02-12,Customer Error
306,228294,23.73,2026-02-12,Late Delivery
307,11166,10.47,2026-02-12,Wrong Item
308,296436,42.79,2026-02-12,Damaged Item
309,93977,15.47,2026-02-12,Wrong Item
310,149325,15.34,2026-02-12,Wrong Item
311,16872,134.59,2026-02-12,Wrong Item
312,93192,15.31,2026-02-12,Wrong Item
313,241922,14.76,2026-02-12,Late Delivery
314,134843,13.11,2026-02-12,Wrong Item
315,300429,29.8,2026-02-12,Late Delivery
316,119394,12.47,2026-02-12,Customer Error
317,266444,21.22,2026-02-12,Late Delivery
318,187069,17.09,2026-02-12,Customer Error
319,21203,9.21,2026-02-12,Late Delivery
320,54775,7.39,2026-02-12,Wrong Item
321,281562,35.4,2026-02-12,Late Delivery
322,184324,49.8,2026-02-12,Late Delivery
323,67244,9.33,2026-02-12,Wrong Item
324,144562,22.46,2026-02-12,Wrong Item
325,42814,36.02,2026-02-12,Customer Error
326,299565,54.16,2026-02-12,Customer Error
327,181063,22.19,2026-02-12,Customer Error
328,249338,39.66,2026-02-12,Late Delivery
329,182078,38.56,2026-02-12,Damaged Item
330,289934,23.07,2026-02-12,Wrong Item
331,131505,54.69,2026-02-12,Customer Error
332,28324,21.51,2026-02-12,Wrong Item
333,33652,10.54,2026-02-12,Damaged Item
334,98677,7.73,2026-02-12,Wrong Item
335,198483,23.56,2026-02-12,Customer Error
336,268339,50.64,2026-02-12,Wrong Item
337,247567,45.95,2026-02-12,Damaged Item
338,210799,8.73,2026-02-12,Wrong Item
339,239165,9.9,2026-02-12,Damaged Item
340,49006,39.6,2026-02-12,Late Delivery
341,190337,9.1,2026-02-12,Wrong Item
342,248201,29.3,2026-02-12,Damaged Item
343,53606,21.04,2026-02-12,Customer Error
344,185825,15.18,2026-02-12,Customer Error
345,279148,35.99,2026-02-12,Customer Error
346,245523,94.79,2026-02-12,Late Delivery
347,4269,55.15,2026-02-12,Damaged Item
348,259361,61.49,2026-02-12,Damaged Item
349,193165,3.23,2026-02-12,Damaged Item
350,117332,7.38,2026-02-12,Customer Error
351,263582,1.58,2026-02-12,Wrong Item
352,147389,9.63,2026-02-12,Customer Error
353,157548,8.84,2026-02-12,Customer Error
354,152296,31.83,2026-02-12,Damaged Item
355,148571,5.9,2026-02-12,Late Delivery
356,218418,9.98,2026-02-12,Damaged Item
357,154340,71.84,2026-02-12,Late Delivery
358,73440,39.96,2026-02-12,Wrong Item
359,94384,43.02,2026-02-12,Wrong Item
360,33693,9.11,2026-02-12,Late Delivery
361,109992,15.06,2026-02-12,Late Delivery
362,179421,108.8,2026-02-12,Damaged Item
363,103687,14.25,2026-02-12,Late Delivery
364,137006,4.31,2026-02-12,Wrong Item
365,54687,4.62,2026-02-12,Damaged Item
366,109812,18.93,2026-02-12,Customer Error
367,154548,61.03,2026-02-12,Customer Error
368,259090,20.56,2026-02-12,Late Delivery
369,126202,20.84,2026-02-12,Wrong Item
370,206194,32.17,2026-02-12,Late Delivery
371,179852,10.22,2026-02-12,Wrong Item
372,14039,25.97,2026-02-12,Wrong Item
373,126173,3.48,2026-02-12,Customer Error
374,280788,16.66,2026-02-12,Damaged Item
375,39557,67.43,2026-02-12,Late Delivery
376,289846,12.73,2026-02-12,Customer Error
377,137234,8.5,2026-02-12,Wrong Item
378,20745,17.17,2026-02-12,Late Delivery
379,133994,40.46,2026-02-12,Customer Error
380,217142,47.54,2026-02-12,Late Delivery
381,252800,19.35,2026-02-12,Late Delivery
382,270673,51.72,2026-02-12,Customer Error
383,171037,55.88,2026-02-12,Customer Error
384,157139,21.02,2026-02-12,Late Delivery
385,109303,6.52,2026-02-12,Wrong Item
386,211705,17.29,2026-02-12,Customer Error
387,303679,33.77,2026-02-12,Damaged Item
388,225484,267.21,2026-02-12,Damaged Item
389,140398,12.15,2026-02-12,Damaged Item
390,64615,31.88,2026-02-12,Wrong Item
391,239901,17.06,2026-02-12,Customer Error
392,293495,127.26,2026-02-12,Late Delivery
393,598,24.76,2026-02-12,Damaged Item
394,28703,12.33,2026-02-12,Late Delivery
395,214184,24.34,2026-02-12,Late Delivery
396,174261,10.76,2026-02-12,Customer Error
397,300964,3.76,2026-02-12,Wrong Item
398,188281,5.27,2026-02-12,Wrong Item
399,55797,13.03,2026-02-12,Wrong Item
400,215993,15.79,2026-02-12,Wrong Item
401,256293,34.05,2026-02-12,Wrong Item
402,129594,8.1,2026-02-12,Wrong Item
403,102848,26.65,2026-02-12,Late Delivery
404,285825,54.64,2026-02-12,Damaged Item
405,162063,25.08,2026-02-12,Customer Error
406,68520,19.3,2026-02-12,Wrong Item
407,8191,15.86,2026-02-12,Wrong Item
408,58639,14.76,2026-02-12,Damaged Item
409,52891,142.91,2026-02-12,Late Delivery
410,141492,43.35,2026-02-12,Damaged Item
411,49326,32.74,2026-02-12,Damaged Item
412,7343,83.01,2026-02-12,Late Delivery
413,141944,80.34,2026-02-12,Customer Error
414,68791,13.41,2026-02-12,Wrong Item
415,265645,13.47,2026-02-12,Wrong Item
416,192334,11.12,2026-02-12,Damaged Item
417,37279,35.6,2026-02-12,Damaged Item
418,24052,50.24,2026-02-12,Wrong Item
419,267504,16.95,2026-02-12,Wrong Item
420,157490,21.09,2026-02-12,Damaged Item
421,272430,6.53,2026-02-12,Damaged Item
422,153186,6.02,2026-02-12,Customer Error
423,275502,90.67,2026-02-12,Late Delivery
424,79100,37.68,2026-02-12,Wrong Item
425,178090,26.91,2026-02-12,Wrong Item
426,42272,11.99,2026-02-12,Damaged Item
427,557,39.12,2026-02-12,Wrong Item
428,210958,17.4,2026-02-12,Wrong Item
429,218342,4.54,2026-02-12,Customer Error
430,125980,62.82,2026-02-12,Wrong Item
431,18004,33.3,2026-02-12,Wrong Item
432,193484,3.76,2026-02-12,Late Delivery
433,211755,10.11,2026-02-12,Damaged Item
434,191298,14.24,2026-02-12,Late Delivery
435,124650,4.8,2026-02-12,Damaged Item
436,286200,34.61,2026-02-12,Damaged Item
437,175063,9.5,2026-02-12,Late Delivery
438,203354,8.79,2026-02-12,Customer Error
439,156858,20.16,2026-02-12,Wrong Item
440,246343,3.18,2026-02-12,Wrong Item
441,240384,7.09,2026-02-12,Late Delivery
442,167770,58.39,2026-02-12,Customer Error
443,199214,54.99,2026-02-12,Damaged Item
444,74826,8.62,2026-02-12,Wrong Item
445,102555,41.35,2026-02-12,Wrong Item
446,41103,9.34,2026-02-12,Damaged Item
447,179984,20.81,2026-02-12,Late Delivery
448,49419,7.48,2026-02-12,Customer Error
449,187220,4.94,2026-02-12,Wrong Item
450,92779,74.61,2026-02-12,Late Delivery
451,8348,13.55,2026-02-12,Damaged Item
452,252933,25.65,2026-02-12,Damaged Item
453,119944,32.31,2026-02-12,Late Delivery
454,285436,44.16,2026-02-12,Wrong Item
455,69993,3.97,2026-02-12,Damaged Item
456,191028,2.03,2026-02-12,Late Delivery
457,12512,22.08,2026-02-12,Wrong Item
458,190261,19.89,2026-02-12,Wrong Item
459,50818,3.46,2026-02-12,Wrong Item
460,275182,65.55,2026-02-12,Wrong Item
461,101277,116.95,2026-02-12,Damaged Item
462,275742,90.05,2026-02-12,Wrong Item
463,126106,5.71,2026-02-12,Customer Error
464,96303,27.22,2026-02-12,Wrong Item
465,187853,17.39,2026-02-12,Damaged Item
466,102251,7.83,2026-02-12,Late Delivery
467,27228,51.53,2026-02-12,Wrong Item
468,50132,16.16,2026-02-12,Late Delivery
469,150364,17.83,2026-02-12,Customer Error
470,302045,40.77,2026-02-12,Customer Error
471,233045,56.37,2026-02-12,Wrong Item
472,42489,56.21,2026-02-12,Damaged Item
473,70248,7.6,2026-02-12,Late Delivery
474,298362,19.36,2026-02-12,Damaged Item
475,22928,28.61,2026-02-12,Damaged Item
476,2781,24.5,2026-02-12,Late Delivery
477,104922,45.72,2026-02-12,Late Delivery
478,10224,6.62,2026-02-12,Wrong Item
479,94381,19.54,2026-02-12,Late Delivery
480,256795,21.32,2026-02-12,Wrong Item
481,86302,16.31,2026-02-12,Wrong Item
482,242985,31.45,2026-02-12,Customer Error
483,300366,9.24,2026-02-12,Customer Error
484,292916,17.71,2026-02-12,Customer Error
485,180322,73.37,2026-02-12,Late Delivery
486,267269,78.92,2026-02-12,Damaged Item
487,256914,71.15,2026-02-12,Customer Error
488,251398,14.41,2026-02-12,Damaged Item
489,28873,5.17,2026-02-12,Customer Error
490,53544,13.65,2026-02-12,Damaged Item
491,81030,11.88,2026-02-12,Damaged Item
492,128433,230.95,2026-02-12,Damaged Item
493,6229,39.0,2026-02-12,Damaged Item
494,169033,79.5,2026-02-12,Customer Error
495,118040,43.8,2026-02-12,Late Delivery
496,275565,1.92,2026-02-12,Damaged Item
497,108781,27.95,2026-02-12,Wrong Item
498,147151,9.03,2026-02-12,Wrong Item
499,206392,6.25,2026-02-12,Late Delivery
500,46289,11.21,2026-02-12,Customer Error
501,142882,12.78,2026-02-12,Late Delivery
502,184466,155.73,2026-02-12,Customer Error
503,285556,12.65,2026-02-12,Late Delivery
504,199829,15.85,2026-02-12,Damaged Item
505,34363,93.93,2026-02-12,Late Delivery
506,99589,14.84,2026-02-12,Late Delivery
507,149024,13.03,2026-02-12,Damaged Item
508,76160,11.04,2026-02-12,Wrong Item
509,27073,143.73,2026-02-12,Damaged Item
510,173995,297.64,2026-02-12,Wrong Item
511,39647,26.1,2026-02-12,Damaged Item
512,11103,42.2,2026-02-12,Damaged Item
513,24734,17.15,2026-02-12,Customer Error
514,216581,168.31,2026-02-12,Wrong Item
515,264203,9.99,2026-02-12,Customer Error
516,113895,7.26,2026-02-12,Wrong Item
517,61746,6.67,2026-02-12,Customer Error
518,29173,63.59,2026-02-12,Damaged Item
519,55062,24.59,2026-02-12,Late Delivery
520,93461,17.6,2026-02-12,Damaged Item
521,90251,32.61,2026-02-12,Customer Error
522,166046,1.62,2026-02-12,Customer Error
523,179720,4.2,2026-02-12,Customer Error
524,269458,31.55,2026-02-12,Wrong Item
525,22239,171.56,2026-02-12,Customer Error
526,47038,2.88,2026-02-12,Wrong Item
527,260613,14.62,2026-02-12,Late Delivery
528,131385,21.65,2026-02-12,Wrong Item
529,124265,22.01,2026-02-12,Wrong Item
530,149571,18.05,2026-02-12,Wrong Item
531,110194,28.66,2026-02-12,Wrong Item
532,276667,14.05,2026-02-12,Wrong Item
533,12523,9.17,2026-02-12,Late Delivery
534,134121,5.48,2026-02-12,Late Delivery
535,207575,2.22,2026-02-12,Damaged Item
536,219372,35.07,2026-02-12,Customer Error
537,6974,96.79,2026-02-12,Damaged Item
538,263219,29.61,2026-02-12,Late Delivery
539,217073,25.36,2026-02-12,Customer Error
540,181565,18.31,2026-02-12,Customer Error
541,262314,42.51,2026-02-12,Late Delivery
542,262029,18.01,2026-02-12,Wrong Item
543,227555,80.98,2026-02-12,Damaged Item
544,270772,10.15,2026-02-12,Damaged Item
545,103469,5.29,2026-02-12,Late Delivery
546,58581,36.23,2026-02-12,Late Delivery
547,66427,11.52,2026-02-12,Customer Error
548,245192,9.42,2026-02-12,Customer Error
549,256683,21.06,2026-02-12,Damaged Item
550,159260,5.69,2026-02-12,Late Delivery
551,64346,22.49,2026-02-12,Wrong Item
552,155986,29.62,2026-02-12,Customer Error
553,278092,3055.14,2026-02-12,Wrong Item
554,71797,65.69,2026-02-12,Late Delivery
555,292796,12.33,2026-02-12,Customer Error
556,84540,20.67,2026-02-12,Late Delivery
557,289439,29.83,2026-02-12,Damaged Item
558,234625,64.32,2026-02-12,Late Delivery
559,46572,21.88,2026-02-12,Customer Error
560,23523,20.33,2026-02-12,Late Delivery
561,291152,13.39,2026-02-12,Late Delivery
562,262246,17.77,2026-02-12,Damaged Item
563,52280,38.75,2026-02-12,Damaged Item
564,212593,30.67,2026-02-12,Wrong Item
565,5615,221.28,2026-02-12,Wrong Item
566,86640,46.79,2026-02-12,Damaged Item
567,23660,14.77,2026-02-12,Customer Error
568,251213,13.58,2026-02-12,Damaged Item
569,291892,36.44,2026-02-12,Damaged Item
570,219112,71.13,2026-02-12,Wrong Item
571,135063,342.2,2026-02-12,Damaged Item
572,276670,41.18,2026-02-12,Late Delivery
573,152371,29.47,2026-02-12,Customer Error
574,110461,11.16,2026-02-12,Wrong Item
575,249482,17.38,2026-02-12,Customer Error
576,219820,3.71,2026-02-12,Wrong Item
577,238400,7.8,2026-02-12,Late Delivery
578,16110,72.03,2026-02-12,Damaged Item
579,103661,36.48,2026-02-12,Wrong Item
580,24964,8.34,2026-02-12,Damaged Item
581,133662,49.73,2026-02-12,Late Delivery
582,227111,106.32,2026-02-12,Damaged Item
583,239283,3.53,2026-02-12,Late Delivery
584,185633,72.82,2026-02-12,Wrong Item
585,10887,37.67,2026-02-12,Late Delivery
586,91073,7.86,2026-02-12,Damaged Item
587,197927,2.37,2026-02-12,Damaged Item
588,83475,90.9,2026-02-12,Late Delivery
589,242377,16.74,2026-02-12,Customer Error
590,281539,29.42,2026-02-12,Wrong Item
591,232438,21.08,2026-02-12,Customer Error
592,201587,4.88,2026-02-12,Damaged Item
593,38821,443.41,2026-02-12,Damaged Item
594,179541,213.96,2026-02-12,Damaged Item
595,302492,6.87,2026-02-12,Late Delivery
596,183535,22.04,2026-02-12,Late Delivery
597,120416,11.92,2026-02-12,Damaged Item
598,128564,13.36,2026-02-12,Customer Error
599,155598,11.55,2026-02-12,Late Delivery
600,304194,7.85,2026-02-12,Customer Error
601,269902,3.45,2026-02-12,Late Delivery
602,111301,84.05,2026-02-12,Wrong Item
603,25477,18.6,2026-02-12,Customer Error
604,266400,25.94,2026-02-12,Customer Error
605,80832,23.2,2026-02-12,Customer Error
606,120092,23.36,2026-02-12,Damaged Item
607,149240,42.34,2026-02-12,Damaged Item
608,24504,54.2,2026-02-12,Damaged Item
609,7279,6.96,2026-02-12,Late Delivery
610,228145,7.86,2026-02-12,Customer Error
611,246110,37.38,2026-02-12,Customer Error
612,240728,30.48,2026-02-12,Late Delivery
613,200971,11.4,2026-02-12,Wrong Item
